archivo,cambios
2026_Mauricio_Meyran_Inditex_Imagen_y_Visual_Merchandiser_CDMX_CV-B.md,OK x1: 'Lidero la estrategia visual y el storyte'... | OK x1: 'Coordino proveedores locales para la pro'...
2026_Mauricio_Meyran_Intimissimi_Visual_Merchandising_Coordinator_CV-B.md,"OK x1: 'Lidero la estrategia visual y el desarro'... | OK x1: 'Coordino proveedores locales para la pro'... | OK x1: 'Colaboro con equipos de Marketing, Trade'..."
2026_Mauricio_Meyran_ServiciosAndreiMoygo_Gerente_Visual_Merchandising_Desarrollo_Tienda_CV-B.md,OK x1: 'el desarrollo de conceptos de exhibición'...
2026_Mauricio_Meyran_ZaraHome_VisualMerchandiser_CV-B.md,OK x1: 'Coordino proveedores locales para la pro'...
